PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG,Joe Chealey (12011401),Joe Chealey,12011401,PG/G/UTIL,3000,NY@CHA 01/28/2019 07:00PM ET,CHA,0
,,,,,,,,,SG,J.P. Macura (12011404),J.P. Macura,12011404,SG/G/UTIL,3000,NY@CHA 01/28/2019 07:00PM ET,CHA,9.5
,,,,,,,,,PF/C,Frank Kaminsky (12011407),Frank Kaminsky,12011407,PF/C/F/UTIL,3000,NY@CHA 01/28/2019 07:00PM ET,CHA,11.58
,,,,,,,,,SG/SF,Dwayne Bacon (12011411),Dwayne Bacon,12011411,SG/SF/F/G/UTIL,3000,NY@CHA 01/28/2019 07:00PM ET,CHA,8.24
,,,,,,,,,PF/C,Kristaps Porzingis (12011416),Kristaps Porzingis,12011416,PF/C/F/UTIL,3000,NY@CHA 01/28/2019 07:00PM ET,NY,0
,,,,,,,,,PF/C,Isaiah Hicks (12011420),Isaiah Hicks,12011420,PF/C/F/UTIL,3000,NY@CHA 01/28/2019 07:00PM ET,NY,0
,,,,,,,,,PF,Alize Johnson (12011424),Alize Johnson,12011424,PF/F/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,IND,1.85
,,,,,,,,,C,Ike Anigbogu (12011427),Ike Anigbogu,12011427,C/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,IND,2.25
,,,,,,,,,PG/SG,Victor Oladipo (12011429),Victor Oladipo,12011429,PG/SG/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,IND,37.56
,,,,,,,,,SG,Stephan Hicks (12011433),Stephan Hicks,12011433,SG/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,IND,0
,,,,,,,,,PG,Edmond Sumner (12011436),Edmond Sumner,12011436,PG/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,IND,1.19
,,,,,,,,,SG/SF,Davon Reed (12011439),Davon Reed,12011439,SG/SF/F/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,IND,0
,,,,,,,,,SG/SF,Damion Lee (12011444),Damion Lee,12011444,SG/SF/F/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,GS,8.58
,,,,,,,,,PF/C,Jordan Bell (12011449),Jordan Bell,12011449,PF/C/F/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,GS,9.76
,,,,,,,,,C,Damian Jones (12011453),Damian Jones,12011453,C/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,GS,13.82
,,,,,,,,,SG/SF,Jacob Evans III (12011455),Jacob Evans III,12011455,SG/SF/F/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,GS,2.26
,,,,,,,,,SF,Marcus Derrickson (12011460),Marcus Derrickson,12011460,SF/F/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,GS,3.92
,,,,,,,,,PG,Shaun Livingston (12011560),Shaun Livingston,12011560,PG/G/UTIL,3000,GS@IND 01/28/2019 07:00PM ET,GS,11.88
,,,,,,,,,SF/PF,Justin Anderson (12011397),Justin Anderson,12011397,SF/PF/F/UTIL,3000,ATL@LAC 01/28/2019 10:30PM ET,ATL,7.16
,,,,,,,,,SF/PF,Luc Richard Mbah a Moute (12011463),Luc Richard Mbah a Moute,12011463,SF/PF/F/UTIL,3000,ATL@LAC 01/28/2019 10:30PM ET,LAC,8.94
,,,,,,,,,SG/SF,Sindarius Thornwell (12011467),Sindarius Thornwell,12011467,SG/SF/F/G/UTIL,3000,ATL@LAC 01/28/2019 10:30PM ET,LAC,3.38
,,,,,,,,,C,Angel Delgado (12011472),Angel Delgado,12011472,C/UTIL,3000,ATL@LAC 01/28/2019 10:30PM ET,LAC,0
,,,,,,,,,C,Boban Marjanovic (12011474),Boban Marjanovic,12011474,C/UTIL,3000,ATL@LAC 01/28/2019 10:30PM ET,LAC,14.02
,,,,,,,,,SF/PF,Mike Scott (12011476),Mike Scott,12011476,SF/PF/F/UTIL,3000,ATL@LAC 01/28/2019 10:30PM ET,LAC,11.13
